Group,Age,avg_cluster_noglb,avg_path_noglb,avg_cluster_glb,avg_path_glb
1,9.610862,0.506301391,5.725316829,0.457155762,5.928028788
2,9.660662,0.496046119,5.737547893,0.496046119,5.737547893
3,9.703762,0.489392137,5.745505452,0.489392137,5.745505452
4,9.746662,0.489189158,5.772914825,0.489189158,5.772914825
5,9.789362,0.501162276,5.741968759,0.501162276,5.741968759
6,9.828362,0.500232436,5.67020336,0.500232436,5.67020336
7,9.86646,0.484399504,5.817565576,0.484399504,5.817565576
8,9.90236,0.483604003,5.820660183,0.483604003,5.820660183
9,9.93856,0.484607415,5.779988211,0.484607415,5.779988211
10,9.97396,0.489953209,5.822723254,0.489953209,5.822723254
11,10.00986,0.491312296,5.674476864,0.491312296,5.674476864
12,10.04586,0.501178187,5.29021879,0.501178187,5.29021879
13,10.0814,0.502360735,5.447393822,0.502360735,5.447393822
14,10.1169,0.501562426,5.368886744,0.501562426,5.368886744
15,10.15254,0.510700611,5.334316134,0.510700611,5.334316134
16,10.18815,0.501142951,5.298116298,0.501142951,5.298116298
17,10.22384,0.511220811,5.314004914,0.511220811,5.314004914
18,10.25904,0.500123537,5.468146718,0.500123537,5.468146718
19,10.29364,0.502746003,5.447665848,0.502746003,5.447665848
20,10.32814,0.497140397,5.432104832,0.497140397,5.432104832
21,10.36284,0.492007496,5.608912484,0.492007496,5.608912484
22,10.39624,0.494276044,5.501719902,0.494276044,5.501719902
23,10.42994,0.485879286,5.445536446,0.485879286,5.445536446
24,10.46314,0.495195745,5.463882064,0.495195745,5.463882064
25,10.49584,0.493247675,5.545366795,0.493247675,5.545366795
26,10.52854,0.484709933,5.584620335,0.484709933,5.584620335
27,10.56084,0.4803452,5.542792793,0.4803452,5.542792793
28,10.59354,0.462003968,5.491795367,0.462003968,5.491795367
29,10.62604,0.471518115,5.589929215,0.471518115,5.589929215
30,10.65894,0.468924684,5.635587863,0.468924684,5.635587863
31,10.69194,0.495534228,5.512226512,0.495534228,5.512226512
32,10.72508,0.497019647,5.612612613,0.497019647,5.612612613
33,10.75788,0.505190505,5.537100737,0.505190505,5.537100737
34,10.78981,0.504085904,5.552661753,0.504085904,5.552661753
35,10.82179,0.497804898,5.622604423,0.497804898,5.622604423
36,10.8533,0.505712015,5.63853211,0.505712015,5.63853211
37,10.8848,0.507712893,5.665387823,0.507712893,5.665387823
38,10.91614,0.509372799,5.718932444,0.509372799,5.718932444
39,10.94714,0.507452951,5.712760634,0.507452951,5.712760634
40,10.97814,0.505234048,5.803413401,0.505234048,5.803413401
41,11.00904,0.519888063,5.659021407,0.519888063,5.659021407
42,11.04019,0.520875455,5.667006456,0.520875455,5.667006456
43,11.07039,0.512399222,5.665817193,0.512399222,5.665817193
44,11.09979,0.506909364,5.779235145,0.506909364,5.779235145
45,11.12969,0.498138145,5.784450063,0.498138145,5.784450063
46,11.16028,0.540534855,5.634456004,0.540534855,5.634456004
47,11.18968,0.531453562,5.578151546,0.531453562,5.578151546
48,11.21918,0.528845925,5.57356439,0.528845925,5.57356439
49,11.24878,0.518394755,5.669384981,0.518394755,5.669384981
50,11.27828,0.522588004,5.53852936,0.522588004,5.53852936
51,11.30778,0.522103234,5.507846941,0.522103234,5.507846941
52,11.33728,0.520886437,5.583986656,0.520886437,5.583986656
53,11.36728,0.511558997,5.612677231,0.511558997,5.612677231
54,11.39728,0.509287934,5.703586322,0.509287934,5.703586322
55,11.42708,0.499141434,5.710907336,0.499141434,5.710907336
56,11.45708,0.511459853,5.667889908,0.511459853,5.667889908
57,11.48708,0.498017648,5.715479115,0.498017648,5.715479115
58,11.51708,0.505276205,5.73972154,0.505276205,5.73972154
59,11.54718,0.496192096,5.702702703,0.496192096,5.702702703
60,11.57648,0.487037053,5.711757269,0.487037053,5.711757269
61,11.60578,0.494132044,5.711547912,0.494132044,5.711547912
62,11.63408,0.495874496,5.716298116,0.495874496,5.716298116
63,11.66148,0.495288195,5.691400491,0.495288195,5.691400491
64,11.68887,0.492132242,5.723505324,0.492132242,5.723505324
65,11.71666,0.492460742,5.749058149,0.492460742,5.749058149
66,11.74516,0.496032856,5.677231026,0.496032856,5.677231026
67,11.77346,0.49488461,5.714095079,0.49488461,5.714095079
68,11.80156,0.482210182,5.718263718,0.482210182,5.718263718
69,11.82976,0.486162086,5.709090909,0.486162086,5.709090909
70,11.85826,0.485890786,5.718099918,0.485890786,5.718099918
71,11.88616,0.482318482,5.709090909,0.482318482,5.709090909
72,11.91429,0.494783096,5.573477898,0.494783096,5.573477898
73,11.94229,0.496636848,5.566972477,0.496636848,5.566972477
74,11.97039,0.492348542,5.731531532,0.492348542,5.731531532
75,11.99869,0.493864844,5.631285831,0.493864844,5.631285831
76,12.02719,0.495106945,5.645372645,0.495106945,5.645372645
77,12.05489,0.486409136,5.607698608,0.486409136,5.607698608
78,12.08309,0.498524049,5.743652744,0.498524049,5.743652744
79,12.11139,0.503063003,5.754463554,0.503063003,5.754463554
80,12.14032,0.499007799,5.655528256,0.499007799,5.655528256
81,12.16939,0.494772753,5.758632193,0.494772753,5.758632193
82,12.19809,0.491880998,5.623686405,0.491880998,5.623686405
83,12.22697,0.511086641,5.797497915,0.511086641,5.797497915
84,12.25567,0.488462194,5.686905755,0.488462194,5.686905755
85,12.28427,0.489860796,5.804003336,0.489860796,5.804003336
86,12.31347,0.492175602,5.774311927,0.492175602,5.774311927
87,12.34277,0.486412527,5.759966639,0.486412527,5.759966639
88,12.37197,0.491480943,5.770642202,0.491480943,5.770642202
89,12.40127,0.493298318,5.799165972,0.493298318,5.799165972
90,12.43047,0.500566908,5.772310259,0.500566908,5.772310259
91,12.45947,0.489281325,5.680567139,0.489281325,5.680567139
92,12.48827,0.488533588,5.692743953,0.488533588,5.692743953
93,12.51637,0.487321466,5.680066722,0.487321466,5.680066722
94,12.54437,0.480764135,5.678565471,0.480764135,5.678565471
95,12.57247,0.490616202,5.842869058,0.490616202,5.842869058
96,12.60067,0.479345579,5.756429156,0.479345579,5.756429156
97,12.62887,0.471183696,5.757739558,0.471183696,5.757739558
98,12.65597,0.475924626,5.76003276,0.475924626,5.76003276
99,12.68297,0.490822608,5.954638124,0.490822608,5.954638124
100,12.70947,0.48580637,5.952769283,0.48580637,5.952769283
101,12.73547,0.504633644,5.945803602,0.504633644,5.945803602
102,12.76017,0.506624135,5.947672443,0.506624135,5.947672443
103,12.78467,0.500121846,5.947672443,0.500121846,5.947672443
104,12.80917,0.496572973,5.925246347,0.496572973,5.925246347
105,12.83357,0.485895947,5.93177648,0.485895947,5.93177648
106,12.85797,0.490330351,5.931109258,0.490330351,5.931109258
107,12.88237,0.498107927,5.951959967,0.498107927,5.951959967
108,12.90667,0.494710517,5.936780651,0.494710517,5.936780651
109,12.93067,0.488315094,6.075729775,0.488315094,6.075729775
110,12.95477,0.499406856,6.034528774,0.499406856,6.034528774
111,12.97857,0.487373432,6.003227999,0.487373432,6.003227999
112,13.00237,0.49064969,6.009683996,0.49064969,6.009683996
113,13.02637,0.476498325,5.758465388,0.476498325,5.758465388
114,13.05027,0.478397031,5.787823186,0.478397031,5.787823186
115,13.07397,0.50348972,5.696607823,0.50348972,5.696607823
116,13.09765,0.499064474,5.703703704,0.499064474,5.703703704
117,13.12155,0.489171912,5.697077812,0.489171912,5.697077812
118,13.14545,0.488176603,5.702004757,0.488176603,5.702004757
119,13.16925,0.485972233,5.734278565,0.485972233,5.734278565
120,13.19275,0.500055157,5.582554517,0.500055157,5.582554517
121,13.21645,0.504848639,5.571504144,0.504848639,5.571504144
122,13.24005,0.504500078,5.553165227,0.504500078,5.553165227
123,13.26345,0.491362059,5.559865985,0.491362059,5.559865985
124,13.28685,0.48729737,5.592252803,0.48729737,5.592252803
125,13.31015,0.487490704,5.596330275,0.487490704,5.596330275
126,13.33335,0.488270724,5.586646279,0.488270724,5.586646279
127,13.3566,0.475559491,5.772522523,0.475559491,5.772522523
128,13.3795,0.48570158,5.65704754,0.48570158,5.65704754
129,13.403,0.508374924,5.669724771,0.508374924,5.669724771
130,13.42753,0.490405584,5.579001019,0.490405584,5.579001019
131,13.45183,0.491069709,5.579510703,0.491069709,5.579510703
132,13.47593,0.486462273,5.57611281,0.486462273,5.57611281
133,13.50039,0.492717485,5.576452599,0.492717485,5.576452599
134,13.52489,0.491560444,5.603465851,0.491560444,5.603465851
135,13.54901,0.510372358,5.818552497,0.510372358,5.818552497
136,13.57311,0.509473461,5.669724771,0.509473461,5.669724771
137,13.59731,0.487960735,5.747122602,0.487960735,5.747122602
138,13.62148,0.491343843,5.599861544,0.491343843,5.599861544
139,13.64548,0.500453992,5.8882402,0.500453992,5.8882402
140,13.67008,0.498469461,5.708090075,0.498469461,5.708090075
141,13.69508,0.514282368,5.675666321,0.514282368,5.675666321
142,13.71988,0.494981116,5.617397214,0.494981116,5.617397214
143,13.74468,0.495926807,5.693170234,0.495926807,5.693170234
144,13.76971,0.497753122,5.678049609,0.497753122,5.678049609
145,13.79461,0.491596846,5.767472894,0.491596846,5.767472894
146,13.81881,0.474689724,5.841656131,0.474689724,5.841656131
147,13.84281,0.486284638,5.777723178,0.486284638,5.777723178
148,13.86666,0.49709868,5.613829426,0.49709868,5.613829426
149,13.89046,0.499100348,5.600577642,0.499100348,5.600577642
150,13.91486,0.489681123,5.417601087,0.489681123,5.417601087
151,13.94016,0.489372334,5.407747197,0.489372334,5.407747197
152,13.96606,0.500998908,5.754162419,0.500998908,5.754162419
153,13.99156,0.495674212,5.613319742,0.495674212,5.613319742
154,14.0169,0.492342682,5.604485219,0.492342682,5.604485219
155,14.0422,0.502246255,5.62235196,0.502246255,5.62235196
156,14.0677,0.498904239,5.802072715,0.498904239,5.802072715
157,14.0937,0.506744029,5.754841998,0.506744029,5.754841998
158,14.1198,0.504992239,5.805130819,0.504992239,5.805130819
159,14.1465,0.50537205,5.788990826,0.50537205,5.788990826
160,14.1725,0.504245247,5.739551478,0.504245247,5.739551478
161,14.1988,0.517612078,5.614918657,0.517612078,5.614918657
162,14.225,0.503656503,5.618416582,0.503656503,5.618416582
163,14.2518,0.501674896,5.626571526,0.501674896,5.626571526
164,14.27841,0.503671065,5.616717635,0.503671065,5.616717635
165,14.30541,0.512721811,5.631014192,0.512721811,5.631014192
166,14.33181,0.509782017,5.659382819,0.509782017,5.659382819
167,14.35811,0.507390488,5.671416871,0.507390488,5.671416871
168,14.38381,0.510034029,4.677886863,0.510034029,4.677886863
169,14.40961,0.521449973,4.702898551,0.521449973,4.702898551
170,14.43511,0.522680701,4.702898551,0.522680701,4.702898551
171,14.46171,0.518346214,5.671089271,0.518346214,5.671089271
172,14.48801,0.522947957,5.626355296,0.522947957,5.626355296
173,14.51421,0.528611622,5.729274395,0.528611622,5.729274395
174,14.54011,0.517314232,5.712260217,0.517314232,5.712260217
175,14.56611,0.504341643,5.684848485,0.504341643,5.684848485
176,14.59231,0.498198169,5.763996139,0.498198169,5.763996139
177,14.61871,0.501238921,5.824646075,0.501238921,5.824646075
178,14.64511,0.500478539,5.632596233,0.500478539,5.632596233
179,14.67111,0.522309053,5.624406224,0.522309053,5.624406224
180,14.69632,0.52531865,5.623423423,0.52531865,5.623423423
181,14.72162,0.521162521,5.596560197,0.521162521,5.596560197
182,14.74692,0.524583321,5.431192661,0.524583321,5.431192661
183,14.77264,0.532054032,5.69824854,0.532054032,5.69824854
184,14.79914,0.529745509,5.587155963,0.529745509,5.587155963
185,14.82564,0.542146151,5.550017307,0.542146151,5.550017307
186,14.85394,0.546896134,5.683281412,0.546896134,5.683281412
187,14.88214,0.533086799,5.494269088,0.533086799,5.494269088
188,14.91064,0.527386759,5.521287643,0.527386759,5.521287643
189,14.93894,0.528186423,5.521287643,0.528186423,5.521287643
190,14.96714,0.527709893,5.520076151,0.527709893,5.520076151
191,14.99574,0.526833609,5.466078228,0.526833609,5.466078228
192,15.02434,0.531857084,5.475401164,0.531857084,5.475401164
193,15.05434,0.537531316,5.475930171,0.537531316,5.475930171
194,15.08464,0.519882612,5.520076151,0.519882612,5.520076151
195,15.11534,0.525606055,5.542229145,0.525606055,5.542229145
196,15.14594,0.524966363,5.486157644,0.524966363,5.486157644
197,15.17644,0.527762515,5.604503753,0.527762515,5.604503753
198,15.20694,0.523227555,5.590492077,0.523227555,5.590492077
199,15.23794,0.511076586,5.637837838,0.511076586,5.637837838
200,15.26895,0.511548412,5.642260442,0.511548412,5.642260442
201,15.29974,0.515746072,5.612510425,0.515746072,5.612510425
202,15.33125,0.510278207,5.597998332,0.510278207,5.597998332
203,15.36275,0.505630228,5.543953294,0.505630228,5.543953294
204,15.39405,0.489892658,5.310758966,0.489892658,5.310758966
205,15.42605,0.500464611,5.505421184,0.500464611,5.505421184
206,15.45805,0.510075884,5.507256047,0.510075884,5.507256047
207,15.49005,0.499007054,5.190492077,0.499007054,5.190492077
208,15.52175,0.496235179,5.179482902,0.496235179,5.179482902
209,15.55415,0.503118296,5.179482902,0.503118296,5.179482902
210,15.58615,0.504381124,5.176647206,0.504381124,5.176647206
211,15.61755,0.514915892,5.141284404,0.514915892,5.141284404
212,15.64935,0.504280316,5.212010008,0.504280316,5.212010008
213,15.68235,0.496541157,5.302284427,0.496541157,5.302284427
214,15.71635,0.498209064,5.296580484,0.498209064,5.296580484
215,15.75135,0.489989623,5.341698842,0.489989623,5.341698842
216,15.78665,0.519038799,5.406692407,0.519038799,5.406692407
217,15.82165,0.521356322,5.340894466,0.521356322,5.340894466
218,15.85665,0.524981937,5.288907423,0.524981937,5.288907423
219,15.89165,0.537067876,5.277947672,0.537067876,5.277947672
220,15.92665,0.514085056,5.352960801,0.514085056,5.352960801
221,15.96135,0.501908748,5.283903253,0.501908748,5.283903253
222,15.99665,0.50084128,5.290075063,0.50084128,5.290075063
223,16.03185,0.527802575,5.325008495,0.527802575,5.325008495
224,16.06775,0.536126819,5.336221543,0.536126819,5.336221543
225,16.10355,0.516146177,5.326271893,0.516146177,5.326271893
226,16.14073,0.504593955,5.372481572,0.504593955,5.372481572
227,16.17848,0.51021721,5.369369369,0.51021721,5.369369369
228,16.21608,0.502237602,5.400655201,0.502237602,5.400655201
229,16.25326,0.4999922,5.237837838,0.4999922,5.237837838
230,16.28935,0.505969889,5.117431193,0.505969889,5.117431193
231,16.32575,0.503199103,5.198525799,0.503199103,5.198525799
232,16.36504,0.501380851,5.214414414,0.501380851,5.214414414
233,16.40505,0.487950188,5.243898444,0.487950188,5.243898444
234,16.44492,0.50776577,5.256380317,0.50776577,5.256380317
235,16.48632,0.508016125,5.259883236,0.508016125,5.259883236
236,16.52762,0.504211654,5.281900082,0.504211654,5.281900082
237,16.57042,0.528267553,5.249575263,0.528267553,5.249575263
238,16.61372,0.529952404,5.182242991,0.529952404,5.182242991
239,16.65732,0.503592973,5.249374479,0.503592973,5.249374479
240,16.70072,0.505766708,5.262385321,0.505766708,5.262385321
241,16.744,0.517917913,5.222731906,0.517917913,5.222731906
242,16.7882,0.520034965,5.224353628,0.520034965,5.224353628
243,16.8341,0.545517715,5.221351126,0.545517715,5.221351126
244,16.88127,0.525927002,5.279566305,0.525927002,5.279566305
245,16.92847,0.52669921,5.236697248,0.52669921,5.236697248
246,16.97577,0.521937002,5.248206839,0.521937002,5.248206839
247,17.02336,0.499932139,5.230025021,0.499932139,5.230025021
248,17.07111,0.503140193,5.235863219,0.503140193,5.235863219
249,17.11901,0.515452765,5.285176085,0.515452765,5.285176085
250,17.16801,0.498626499,5.274692875,0.498626499,5.274692875
251,17.21601,0.511810916,5.246038365,0.511810916,5.246038365
252,17.26351,0.513196198,5.246371977,0.513196198,5.246371977
253,17.31111,0.504711677,5.2558799,0.504711677,5.2558799
254,17.35907,0.499238088,5.316280566,0.499238088,5.316280566
255,17.40907,0.511893513,5.281370656,0.511893513,5.281370656
256,17.45887,0.508555928,5.308397683,0.508555928,5.308397683
257,17.50827,0.505244061,5.302445302,0.505244061,5.302445302
258,17.55967,0.516043381,5.247104247,0.516043381,5.247104247
259,17.61117,0.519750452,5.212510425,0.519750452,5.212510425
260,17.66417,0.514827187,5.259009009,0.514827187,5.259009009
261,17.71787,0.521406124,5.285553411,0.521406124,5.285553411
262,17.77257,0.514258757,5.307593308,0.514258757,5.307593308
263,17.82657,0.515235112,5.307754183,0.515235112,5.307754183
264,17.88057,0.508154048,5.275096525,0.508154048,5.275096525
265,17.93357,0.504943568,5.267052767,0.504943568,5.267052767
266,17.98617,0.49389244,5.328855879,0.49389244,5.328855879
267,18.03967,0.505774456,5.287141687,0.505774456,5.287141687
268,18.09367,0.51004261,5.21981982,0.51004261,5.21981982
269,18.14787,0.495288895,5.23963964,0.495288895,5.23963964
270,18.20317,0.504314442,5.211688753,0.504314442,5.211688753
271,18.25987,0.506211112,5.219849875,0.506211112,5.219849875
272,18.32077,0.504070754,5.252579853,0.504070754,5.252579853
273,18.38157,0.508235805,5.231859883,0.508235805,5.231859883
274,18.44237,0.521580066,5.181031499,0.521580066,5.181031499
275,18.50287,0.53637437,5.102425876,0.53637437,5.102425876
276,18.56287,0.542154125,5.181671159,0.542154125,5.181671159
277,18.62237,0.529857197,5.258239891,0.529857197,5.258239891
278,18.68247,0.514435564,5.301084237,0.514435564,5.301084237
279,18.74527,0.508025863,5.170475396,0.508025863,5.170475396
280,18.80903,0.511144004,5.146958885,0.511144004,5.146958885
281,18.87374,0.505886941,5.175979983,0.505886941,5.175979983
282,18.93984,0.50425635,5.179316097,0.50425635,5.179316097
283,19.00544,0.483940781,5.189824854,0.483940781,5.189824854
284,19.07034,0.494451937,5.195663053,0.494451937,5.195663053
285,19.13724,0.501729003,5.19266055,0.501729003,5.19266055
286,19.20174,0.505372074,5.114848794,0.505372074,5.114848794
287,19.26604,0.494368348,5.125382263,0.494368348,5.125382263
288,19.33084,0.504951292,5.10890248,0.504951292,5.10890248
289,19.39584,0.496643443,5.131328576,0.496643443,5.131328576
290,19.46284,0.510466899,5.087400485,0.510466899,5.087400485
291,19.52974,0.496948355,5.120934112,0.496948355,5.120934112
292,19.59914,0.499560187,5.137281068,0.499560187,5.137281068
293,19.66764,0.502586404,5.080190282,0.502586404,5.080190282
294,19.73834,0.490104592,5.131442869,0.490104592,5.131442869
295,19.80902,0.489068532,5.110425354,0.489068532,5.110425354
296,19.88022,0.498637978,5.101918265,0.498637978,5.101918265
297,19.95722,0.493033168,5.133005733,0.493033168,5.133005733
298,20.03622,0.489268064,5.141687142,0.489268064,5.141687142
299,20.1161,0.497669558,5.098708801,0.497669558,5.098708801
300,20.1961,0.501703184,4.45482866,0.501703184,4.45482866
301,20.2773,0.499946791,5.102276589,0.499946791,5.102276589
302,20.36,0.498151192,5.123269391,0.498151192,5.123269391
303,20.4456,0.500945436,5.097349643,0.500945436,5.097349643
304,20.5343,0.504966536,5.063343718,0.504966536,5.063343718
305,20.624,0.50296299,5.088515121,0.50296299,5.088515121
306,20.72,0.508501581,5.059709242,0.508501581,5.059709242
307,20.81653,0.509824563,5.059190031,0.509824563,5.059190031
308,20.91453,0.509048462,5.061613015,0.509048462,5.061613015
309,21.01153,0.50863419,5.056940118,0.50863419,5.056940118
310,21.10853,0.504425153,5.169435791,0.504425153,5.169435791
311,21.20573,0.501055426,5.075285566,0.501055426,5.075285566
312,21.30536,0.507205346,5.151436483,0.507205346,5.151436483
313,21.40634,0.525437689,5.140359986,0.525437689,5.140359986
314,21.50794,0.511893465,5.147802008,0.511893465,5.147802008
315,21.60994,0.517756832,5.255797854,0.517756832,5.255797854
316,21.71134,0.507387982,5.133956386,0.507387982,5.133956386
317,21.81344,0.506979672,5.166493596,0.506979672,5.166493596
318,21.91747,0.508835763,5.170474213,0.508835763,5.170474213
319,22.02314,0.51198701,5.170301142,0.51198701,5.170301142
320,22.13075,0.502664491,5.158359294,0.502664491,5.158359294
321,22.24045,0.516264214,5.144340602,0.516264214,5.144340602
322,22.35145,0.511175861,5.14278297,0.511175861,5.14278297
323,22.46265,0.508733191,5.24004846,0.508733191,5.24004846
324,22.57395,0.523025971,5.169435791,0.523025971,5.169435791
325,22.68595,0.534151805,5.149878851,0.534151805,5.149878851